iter	MultiClass
0	1.269666722
1	1.165713198
2	1.075900903
3	1.01254479
4	0.9344711573
5	0.8746321243
6	0.8191693637
7	0.7698757697
8	0.7286407283
9	0.692703601
10	0.6610401049
11	0.6389147784
12	0.617826885
13	0.5955751746
14	0.5702335024
15	0.5493460692
16	0.5315888883
17	0.5185323146
18	0.5012407324
19	0.485739899
20	0.4723278444
21	0.4552388431
22	0.4406043092
23	0.4272532886
24	0.4183956293
25	0.4076509533
26	0.3966125788
27	0.3866111482
28	0.3778421782
29	0.3685894297
30	0.3601134818
31	0.3518268885
32	0.3436706077
33	0.3368683006
34	0.3291129144
35	0.3228201775
36	0.3143057526
37	0.305714815
38	0.2970000813
39	0.2882832336
40	0.2772370073
41	0.2691855348
42	0.2639790342
43	0.2595506271
44	0.2542206975
45	0.2465578372
46	0.2420012524
47	0.2374730817
48	0.2324650297
49	0.2279156072
50	0.223883168
51	0.2195257471
52	0.2151924466
53	0.2116363612
54	0.2063165584
55	0.2029446681
56	0.2000898041
57	0.196565708
58	0.1920493465
59	0.1877665065
60	0.1846005121
61	0.1813595661
62	0.1778439011
63	0.1741635975
64	0.1713143887
65	0.1686536175
66	0.1654996395
67	0.163007397
68	0.1606200702
69	0.1582097424
70	0.1559189297
71	0.1535997362
72	0.1517051852
73	0.14850312
74	0.146183979
75	0.1431500902
76	0.1412287376
77	0.139321955
78	0.1376769114
79	0.1356882095
80	0.134093045
81	0.131742772
82	0.1299747914
83	0.1282506007
84	0.1267968451
85	0.1251819216
86	0.1233437428
87	0.1214725154
88	0.1199006389
89	0.1186542047
90	0.117422529
91	0.1148877956
92	0.11352207
93	0.1119245172
94	0.1102591898
95	0.1090811777
96	0.1077830882
97	0.1066093398
98	0.1052864612
99	0.1040785536
100	0.1028761106
101	0.1016833206
102	0.1005559414
103	0.09898161238
104	0.0978880981
105	0.09686935344
106	0.0959630651
107	0.09490141991
108	0.09408240635
109	0.0930344932
110	0.09210090861
111	0.09109519832
112	0.09008151834
113	0.08933076495
114	0.08839024125
115	0.08748638466
116	0.08631184453
117	0.08546678282
118	0.08448535129
119	0.08364273626
120	0.08262081795
121	0.08196411092
122	0.08100550648
123	0.08034060181
124	0.0795859275
125	0.07885024472
126	0.0781301258
127	0.07725269933
128	0.07662365259
129	0.07604294545
130	0.07546462374
131	0.07477753612
132	0.07423327974
133	0.07371227544
134	0.07290656445
135	0.07223276826
136	0.0716487768
137	0.07100372406
138	0.07019193844
139	0.06955973669
140	0.06898081443
141	0.06834917854
142	0.06784646198
143	0.06729422656
144	0.06677066209
145	0.06616146013
146	0.06567643944
147	0.06512372095
148	0.06455611898
149	0.06411817407
150	0.06357560497
151	0.06300771646
152	0.06254538968
153	0.06197108318
154	0.0615355958
155	0.06100351695
156	0.06057858132
157	0.06010432975
158	0.05971768112
159	0.05935053973
160	0.05879223927
161	0.05837702927
162	0.05779123122
163	0.0573633091
164	0.05700127657
165	0.05661804815
166	0.05621034095
167	0.05575805163
168	0.0554222801
169	0.05510399747
170	0.05467386064
171	0.05431825366
172	0.05399554838
173	0.05364335928
174	0.05327033659
175	0.05293593407
176	0.05254099046
177	0.05219427826
178	0.05182746623
179	0.05146287556
180	0.05115321015
181	0.05088605334
182	0.05057199137
183	0.05031089816
